# uuid CTM_gesdd-D4-chi160-j20.35-run0-cFBc4vn0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5 l6 l7 l8 l9
0.35 4 32.0 -0.5380548144317949 0.2221295707596921 1.0 0.6649085730138847 0.5631006768456408 0.51523510785231 0.5029434966978493 0.4968303577451512 0.47296450002709084 0.4529863289938005 0.4303424576213386 0.4248434060050232
0.35 4 40.0 -0.538198412736505 0.22154722425014983 1.0 0.6856811685306697 0.5722766850870398 0.5288334067097946 0.5245356935614273 0.5236102869600326 0.5087513897764024 0.47450017221948954 0.45050867348997664 0.430414526685898
0.35 4 48.0 -0.5382517252172265 0.2212719533213166 1.0 0.6930247878957854 0.5795235198564126 0.5399082850200554 0.5330413063799009 0.5315063509101546 0.5120038110806069 0.4867863787837674 0.4666617887254932 0.433608704750916
0.35 4 64.0 -0.5383273743921762 0.22103028994749813 1.0 0.7022655172416247 0.591583691757346 0.5618663328433947 0.5438399677221265 0.5376157892254471 0.5223077235971757 0.5006120710104643 0.4925599869483697 0.43908921837701537
0.35 4 96.0 -0.5383798341846776 0.2209172783673539 1.0 0.7161662734403547 0.6065376900229428 0.5973855251682502 0.5544198576313429 0.5491791216207604 0.5327720222805723 0.5114471222326384 0.5049229336565957 0.4680155923545503
0.35 4 128.0 -0.5383903774134134 0.2208930687737498 1.0 0.7218467195068526 0.6249968415354714 0.602920698868739 0.5634399472895238 0.5538801545065601 0.5394303650215628 0.5210904504207039 0.5197252500655025 0.4946577544731219
0.35 4 160.0 -0.5383951275296137 0.2208856687526568 1.0 0.7259796103637218 0.6388127489735241 0.6062544239586294 0.5679118205622836 0.5572896503911385 0.5437873651891875 0.5308056739407914 0.5250992468456352 0.5170575531100012
0.35 4 192.0 -0.5383970312292402 0.22088258469895394 0.9999999999999999 0.7285969457365679 0.6479046429175793 0.6096237335549654 0.5714857983330348 0.5598000287916919 0.5461629211242387 0.5406569339877265 0.533133011899377 0.5288917078373532
0.35 4 228.0 -0.5383983017421423 0.2208811694739658 1.0 0.7314500229452662 0.6581629693798339 0.6115676973813706 0.5742821992571562 0.5637923605122959 0.5518995915672082 0.5480842403683807 0.5464469488130034 0.5315736150129509
0.35 4 264.0 -0.5383988742476178 0.22088051607012799 1.0 0.7337770282399624 0.6662969268598629 0.6136374424654144 0.576525122530107 0.5660303727229886 0.5652417156736259 0.552695474075958 0.5491720301668064 0.5336726571181352
0.35 4 300.0 -0.5383992351783334 0.22088019515561524 1.0 0.7348393070196617 0.6700334450721934 0.6152929239501027 0.5789987649283997 0.5727136556095743 0.5662333713860513 0.5582511055296829 0.5508534612282033 0.5354118352716866
0.35 4 400.0 -0.5383995892947769 0.22087988180881205 1.0 0.7370974857662071 0.6780994989665632 0.6179825424846804 0.5875575621463063 0.5824549258337597 0.5696313778945175 0.5668702871619753 0.5548043917511973 0.5397181903830488
0.35 4 500.0 -0.538399705516182 0.22087979749367737 1.0 0.7399550498701118 0.6892000808482018 0.6195518507654642 0.610883854875753 0.5846800703611188 0.5718994188797145 0.5717341013922121 0.5569752201584454 0.5422266734106502
0.35 4 600.0 -0.5383997523638633 0.22087976884332644 1.0 0.7410843664317052 0.6933797483681844 0.62067636759799 0.619041243882885 0.5863219816494061 0.5756763089820572 0.5734900101414715 0.5580962264075177 0.5438252613054664
0.35 4 700.0 -0.5383997703197936 0.2208797575914738 1.0 0.7421409609070021 0.6973436629523707 0.6269491422358415 0.6216763738268898 0.5875245248590567 0.5790682130299951 0.5743266463841592 0.5590602546050283 0.5452410200765794
0.35 4 800.0 -0.5383997791410728 0.22087975257410147 1.0 0.7430388401356169 0.700744985094113 0.633872536097705 0.6226788906272904 0.5886006493012825 0.5824707494223125 0.575188543617081 0.560354903839467 0.5491300647812213
