# uuid CTM_gesdd-D6-chi144-j20.35_BEST
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.35 6 72.0 -0.5387598959260899 0.19797598240901843 1.0 0.7643729049268706 0.7469009466657636 0.6245388520172928 0.6135494130494094 0.5553826623413539
0.35 6 144.0 -0.5388416849285596 0.19770031202063268 1.0 0.782156197086487 0.7636683555249976 0.680454129285322 0.6638009267607397 0.5866313099543244
0.35 6 216.0 -0.5388518788406106 0.19767457637344726 0.9999999999999999 0.7896472611362824 0.7711626823288473 0.7077001358379016 0.6906612718444399 0.5984449563826723
0.35 6 288.0 -0.5388547123693869 0.19766848973078027 1.0 0.7944300092236863 0.7756427649742784 0.7251473965061985 0.7061571631855978 0.6195352361803422
0.35 6 360.0 -0.5388557496242968 0.19766656656172632 1.0 0.7965294675207043 0.7782560332472102 0.7326236221076501 0.715181422594771 0.6332193392568666
0.35 6 432.0 -0.5388561985393452 0.1976658499613828 1.0 0.7984599317710513 0.7799159057428378 0.7398615305301285 0.7211344830757285 0.6476565086649995
