# uuid CTM_BFGS100LS_U1B_D6-chi200-j20.0-run1-iU1BD6j20chi144n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5 l6 l7 l8 l9
0.0 6 36.0 -0.6692435495930878 0.31693524046438604 1.0 0.8210084990717583 0.8210084990717582 0.6929199314803413 0.6929199314803395 0.6448677996212697 0.6353164228344692 0.635316422834465 0.6174252471748191 0.6174252471748177
0.0 6 72.0 -0.6693975138246822 0.31620522515707505 1.0 0.8358224118053734 0.8358224118053701 0.731124360227035 0.7311243602270313 0.6711006310744143 0.6711006310744134 0.6704828037510826 0.6274048679917399 0.6274048679917388
0.0 6 108.0 -0.6694161740967399 0.31613117527217305 1.0 0.8468372701963657 0.8468372701963626 0.7722300397059986 0.7722300397059975 0.6944945285650034 0.6913246589548162 0.6913246589548155 0.661443577576923 0.6614435775769186
0.0 6 144.0 -0.6694204251145445 0.316111945614418 1.0 0.8502909104187947 0.850290910418792 0.7843417114971045 0.7843417114971022 0.701526861005809 0.7015268610058084 0.7009135333737596 0.6826991913293898 0.6826991913293851
0.0 6 180.0 -0.6694218964606555 0.3161065706054294 1.0 0.8527113269483043 0.8527113269483021 0.7929484852791103 0.7929484852791089 0.7080012934823797 0.7071896588122708 0.7071896588122684 0.6985199212431855 0.6985199212431797
0.0 6 216.0 -0.6694226688596194 0.31610423616812966 1.0 0.8545973456434643 0.8545973456425134 0.8001205975427713 0.800120597539583 0.7132489620258033 0.713248962020205 0.7115633426896405 0.7111683963472099 0.7111683963472093
0.0 6 252.0 -0.6694230452325827 0.31610315107881426 1.0 0.8561224163200526 0.8561224163200526 0.8060178464421243 0.8060178464421186 0.7256863957069236 0.7256863957069216 0.7148926744644818 0.7139516475144222 0.7139516475144196
0.0 6 288.0 -0.669423200409391 0.3161026706101771 1.0 0.8577255085943035 0.8577255085943031 0.8125790347631296 0.8125790347631212 0.7405809508356253 0.7405809508356233 0.7186487667932665 0.7186487667932636 0.7182168876525076
0.0 6 360.0 -0.6694233424488494 0.31610220912349196 1.0 0.8597077052531488 0.8597077052531477 0.8202503159033929 0.8202503159033874 0.7565318978056463 0.75653189780564 0.7233303039322676 0.723183043655421 0.7231830436554209
0.0 6 432.0 -0.669423404146799 0.31610206192908175 1.0 0.8606854224285698 0.8606854224285675 0.8239894473918038 0.8239894473918024 0.7642126049208146 0.7642126049208124 0.7257622617985582 0.7257622617985561 0.7257105521301869
0.0 6 504.0 -0.6694234335101188 0.31610199273666206 1.0 0.8613384778512958 0.8613384778512938 0.8264219005580675 0.8264219005580642 0.7690096053137198 0.7690096053137181 0.7277816316895305 0.7277634492715046 0.7277634492715004
0.0 6 576.0 -0.6694234477149801 0.31610196148810976 1.0 0.8619292095675833 0.8619292095675819 0.8286443765324539 0.8286443765324535 0.7734673240565216 0.7734673240565171 0.7295167448602803 0.7295167448602801 0.7290885953573626
0.0 6 648.0 -0.6694234548245467 0.3161019460356859 1.0 0.8628877410543174 0.8628877410543133 0.8325281819827344 0.8325281819827272 0.7822622783279376 0.7822622783279309 0.7314676029353132 0.7314676029353114 0.7313141518403683
