# uuid CTM_BFGS100LS_U1B_D4-chi96-j20.3-run0-c1U1BD4j20chi97n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.3 4 32.0 -0.5549195318997867 0.2508900372837967 1.0 0.5676775520088728 0.5676775520088727 0.494201560683539 0.4942015606835368 0.4054608611349661
0.3 4 40.0 -0.5549198770675943 0.25088981241665975 1.0 0.5749625012856124 0.5749625012856102 0.5189020187764226 0.5189020187764226 0.4446890298370388
0.3 4 48.0 -0.5549201362858475 0.25088975759270893 1.0 0.5751945027521 0.5751945027520998 0.519556463277486 0.5195564632774857 0.4455299471753331
0.3 4 64.0 -0.5549201838068101 0.2508897374962229 1.0 0.5778579544786931 0.5778579544786931 0.5285217315932891 0.528521731593289 0.4602617703478665
0.3 4 96.0 -0.5549202030916571 0.2508897324272996 1.0 0.5797156474352585 0.5797156474352567 0.5348629061844347 0.5348629061844338 0.4710381033011607
0.3 4 128.0 -0.5549202042735396 0.2508897321720255 1.0 0.5829996009653874 0.5829996009653867 0.5467533223763449 0.5467533223763407 0.4928524442122799
0.3 4 160.0 -0.5549202045367707 0.2508897321392598 1.0 0.584586113568502 0.5845861135684992 0.5526029104962216 0.5526029104962202 0.5042767791792541
0.3 4 192.0 -0.5549202045739832 0.2508897321334057 1.0 0.5851690459724433 0.5851690459724425 0.5547582808798861 0.5547582808798844 0.5085085161566337
0.3 4 228.0 -0.5549202045868763 0.25088973213226723 1.0 0.5860525926775488 0.5860525926775471 0.5580839378619808 0.5580839378619785 0.5151932791620851
0.3 4 264.0 -0.5549202045889011 0.25088973213201216 1.0 0.5871141970031444 0.5871141970031424 0.5621270154016037 0.5621270154016025 0.5234795468221578
0.3 4 300.0 -0.5549202045897886 0.2508897321319472 1.0 0.5878482554975418 0.5878482554975413 0.5649546808374337 0.5649546808374316 0.5294015763699296
0.3 4 400.0 -0.5549202045903872 0.2508897321319149 0.9999999999999999 0.5887559518770451 0.588755951877044 0.5683575604206851 0.5683575604206837 0.5362348203236055
0.3 4 500.0 -0.5549202045904513 0.25088973213191246 1.0 0.588980155211872 0.5889801552118719 0.5692065351565399 0.5692065351565361 0.5379716389427419
0.3 4 600.0 -0.5549202045904623 0.2508897321319121 0.9999999999999999 0.5896603995137849 0.5896603995137829 0.5718213493115103 0.57182134931151 0.5434371301454342
0.3 4 700.0 -0.5549202045904602 0.25088973213191224 0.9999999999999999 0.5902090431189756 0.5902090431189724 0.5739521560966988 0.5739521560966964 0.5479830906926485
0.3 4 800.0 -0.5549202045904603 0.2508897321319119 0.9999999999999999 0.590438776217259 0.5904387762172567 0.5748498289159815 0.5748498289159798 0.5499228540030371
