# uuid CTM_BFGS100LS_D4-chi96-j20.2-run0_ctm8_iD4j20cJ2Pn0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.2 4 32.0 -0.5907995730028854 0.2802278671401964 0.9999999999999999 0.7720980847429318 0.7679378794389897 0.6779881829211118 0.6585960571379559 0.63581508391996
0.2 4 40.0 -0.5909037992552238 0.27989206253702686 1.0 0.7889011638981709 0.7759222188646111 0.6911779458716375 0.6655081957243022 0.6605336261992074
0.2 4 48.0 -0.5909516207622985 0.27969970760521246 1.0 0.7952748726388799 0.7859482566295333 0.7018279190082116 0.6808509873511485 0.6762041011910676
0.2 4 64.0 -0.5910081204819329 0.27956868311903615 1.0 0.8067672057329779 0.7992302650277818 0.718937776393295 0.6999070737417084 0.6896548334632582
0.2 4 96.0 -0.5910386474092318 0.27950589248176066 1.0 0.8180679109769594 0.8108240365200867 0.7311877066092936 0.7277862739734134 0.7173867132854796
0.2 4 128.0 -0.5910464206155294 0.27949355523415215 1.0 0.8235120449133249 0.8166357234769955 0.7462578475325891 0.7403703792098504 0.736042321598921
0.2 4 160.0 -0.5910496722977046 0.2794898112957766 1.0 0.8276377585727872 0.8204521772348286 0.7615118544637071 0.7493020234725467 0.7456367728970046
0.2 4 192.0 -0.5910510033937916 0.2794884175820179 1.0 0.8298022494878059 0.8237952046039247 0.7694829906658519 0.7623117389704869 0.7490561146133148
0.2 4 228.0 -0.5910516676776689 0.27948777887563525 1.0 0.8319389801403867 0.8255120929577736 0.7773969504199544 0.768587416386762 0.7515599917696023
0.2 4 264.0 -0.5910519607735808 0.27948749804408507 0.9999999999999999 0.8331656265578009 0.8269968555763492 0.7819170753534763 0.7741586104001745 0.7531523397900374
0.2 4 300.0 -0.5910521421430416 0.2794873616355454 1.0 0.8342790054521185 0.8282376716687011 0.7860801051745188 0.7788500871910929 0.7546007184396285
