# uuid CTM_gesdd-D2-chi48-j20.15-run0-iFBc4v
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.15 2 32.0 -0.6004392043795398 0.36976722004306095 1.0 0.2513658502169213 0.25136488575621757 0.2417318839806039 0.24172859561311646 0.22682318522002148
0.15 2 48.0 -0.6004392043795403 0.3697672200430609 1.0 0.252390148529583 0.2523901326125497 0.24564440701387252 0.24564439161092727 0.23495952991080166
0.15 2 64.0 -0.60043920437954 0.36976722004306095 1.0 0.2524049402102262 0.2524049242910804 0.24569809371604015 0.2456980783053793 0.23506207077806973
0.15 2 96.0 -0.60043920437954 0.3697672200430608 1.0 0.2529798223416198 0.25297980632089584 0.24793635284422702 0.2479363370405707 0.23986669725716564
0.15 2 128.0 -0.6004392043795397 0.3697672200430609 1.0 0.2532005818955415 0.25320056593803114 0.24883157170286263 0.2488315561343015 0.24191257457607337
0.15 2 160.0 -0.6004392043795401 0.369767220043061 1.0 0.25320419706880226 0.2532041780552714 0.2488464662877102 0.24884643779311552 0.2419472915682532
0.15 2 192.0 -0.6004392043795398 0.36976722004306084 1.0 0.25323138688842795 0.25323137093202513 0.24896625786169474 0.2489662422968767 0.24225895788311014
