# uuid CTM_BFGS100LS_D4-chi96-j20.15-run0_ctm8_iD4j20cJ2Pn0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.15 4 32.0 -0.6096454350166793 0.2949064089229917 1.0 0.7972500320738108 0.7934743610307116 0.6922694276434566 0.672922615384787 0.6569868716022217
0.15 4 40.0 -0.6097659204292893 0.29456084496460316 1.0 0.814841729656894 0.8011967328549789 0.709350037871858 0.6998290151483504 0.6727062335440995
0.15 4 48.0 -0.6098151918177104 0.29438798845758096 1.0 0.821711116370697 0.8098155707090933 0.7218854714366231 0.7140702348677574 0.6900097025124402
0.15 4 64.0 -0.6098781615655895 0.2942488191908895 1.0 0.8303705005984338 0.8243462048299979 0.7365339045554695 0.7346135240717191 0.7155278116310255
0.15 4 96.0 -0.6099089623160522 0.2941838563346703 1.0 0.8421778578438218 0.8350473726242265 0.7556842548989909 0.7554606552131901 0.7494165645342991
0.15 4 128.0 -0.6099169465872101 0.2941704936957263 1.0 0.8479186945964066 0.8417158617432858 0.7755292099401946 0.7674008272268789 0.7651982860501367
0.15 4 160.0 -0.6099198325551614 0.2941663452128509 1.0 0.8513712299326355 0.8447718290234353 0.7884603838147314 0.7778445876628904 0.7699361841840959
0.15 4 192.0 -0.6099213047280805 0.2941648805889868 1.0 0.853800599254157 0.8478763303712327 0.7974710807842886 0.7901686812843571 0.7740151305419959
0.15 4 228.0 -0.6099220065340557 0.29416418729159094 1.0 0.8556121348587749 0.8492753356351789 0.8042535290447809 0.7952765627696355 0.7764806713509201
0.15 4 264.0 -0.6099223018705573 0.2941638566887002 1.0 0.8568427681503685 0.8509286588237527 0.808855887112186 0.8016147955333565 0.7788861622867644
0.15 4 300.0 -0.6099224753242556 0.2941636980329536 1.0 0.8580777455011903 0.8520270297562884 0.8135892267292725 0.8057524443269184 0.7808469248559753
