# uuid CTM_BFGS100LS_D3-chi72-j20.1-run0_ctm8_iD3j20rnd54313n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.1 3 36.0 -0.6278729921237374 0.33087847648570745 1.0 0.5870798797306208 0.587064105107817 0.5781992457516765 0.5781838477010487 0.5103704014322267
0.1 3 37.0 -0.6278769125440632 0.33087220265531603 1.0 0.5876768987414787 0.5876611878949685 0.5788803018061633 0.5788648555279179 0.5104643766673131
0.1 3 45.0 -0.627892345073131 0.3308241662860264 1.0 0.5910327257822451 0.5910169031571911 0.5852539341449672 0.5852380544555676 0.5240152889105119
0.1 3 54.0 -0.6279011750599147 0.3308026980986093 1.0 0.5938471502826533 0.5938309416444508 0.5884375220429866 0.5884218255405264 0.5260833861010913
0.1 3 63.0 -0.6279071398461955 0.3307901162720471 1.0 0.6012920950945653 0.597204883209304 0.5893792838275411 0.5893748182069657 0.530419737620157
0.1 3 72.0 -0.6279103855909415 0.33078560113959976 1.0 0.6072800801256316 0.6072632080669131 0.594936825277619 0.5949202772879135 0.5320910028717968
0.1 3 73.0 -0.6279105556443307 0.33078527341490765 0.9999999999999999 0.6076030312648703 0.607586761372037 0.5955103705463191 0.5954936333875992 0.5321192575789113
0.1 3 108.0 -0.6279144968850568 0.3307811095275188 0.9999999999999999 0.6129259425229179 0.6129093622571136 0.6035360549136143 0.603519934676119 0.5402526284762184
0.1 3 144.0 -0.6279150930728826 0.3307805103555199 1.0 0.6164795965098645 0.6164632172865709 0.6065521289773924 0.6065360385803511 0.5446175269542965
0.1 3 180.0 -0.6279152188290337 0.3307803895323606 1.0 0.6202808785263562 0.6202643858065289 0.6109943567946954 0.6109781584135783 0.5587344098004134
0.1 3 216.0 -0.6279152562540312 0.33078035938350064 1.0 0.6217929927953217 0.6217765004573239 0.612908415817955 0.6128919939775987 0.5641432370647961
0.1 3 252.0 -0.6279152709519144 0.3307803487166899 1.0 0.6237140109198487 0.6236974932348764 0.6143317343156421 0.6143154861163601 0.5712923542772953
0.1 3 270.0 -0.6279152740032932 0.33078034614157503 1.0 0.624253578748851 0.6242432114931533 0.6147101749587424 0.6146925291625628 0.5732009499816455
