# uuid CTM_gesdd-D6-chi144-j20.05_BEST
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.05 6 72.0 -0.6492527204836851 0.3063118140162288 1.0 0.8382233703038071 0.8276453431880523 0.758686868750762 0.7379195426878206 0.673117343536189
0.05 6 144.0 -0.6492614721347361 0.30627650671244355 1.0 0.8478418330480268 0.839270917194518 0.7926307823982768 0.7805440893062309 0.7075067454218863
0.05 6 216.0 -0.6492626734483342 0.30627417422577385 1.0 0.8502379927655086 0.8429941971134957 0.8012002755005146 0.7944099224199174 0.72341418462895
0.05 6 288.0 -0.6492628879419702 0.30627378214083334 1.0 0.8536972709099079 0.845999558658985 0.8149802690814719 0.8063171833097014 0.7531792972549645
0.05 6 360.0 -0.6492629432521055 0.3062737065895157 1.0 0.8552693017071058 0.8473202889521702 0.8209432129639362 0.8112969452241705 0.7652293381871379
0.05 6 432.0 -0.6492629655013676 0.3062736809790253 1.0 0.8560060946029207 0.8482477944356996 0.8237187719613649 0.8147635245659635 0.7708318590685885
