# uuid CTM_BFGS100LS_U1B_D4-chi96-j20.15-run0-iU1BD4j20chi97n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.15 4 32.0 -0.6096670781760488 0.3024753530261195 1.0 0.5742078404744702 0.57420784047447 0.49598700929445844 0.4959870092944566 0.3980320178882557
0.15 4 40.0 -0.6096674184403976 0.30247521961076673 1.0 0.5839858331740532 0.5839858331740528 0.5297931826221683 0.5297931826221675 0.45403266154313515
0.15 4 48.0 -0.6096674805783513 0.30247518166462345 1.0 0.5844538718271013 0.5844538718271008 0.531107749087498 0.5311077490874977 0.45564066346077264
0.15 4 64.0 -0.6096675008251959 0.30247517281763614 1.0 0.5866962358520008 0.5866962358520005 0.5389880564690505 0.5389880564690499 0.4699376399555057
0.15 4 96.0 -0.6096675051032269 0.3024751713719467 1.0 0.5912893065119281 0.5912893065119262 0.5558552248808044 0.5558552248808035 0.5022875062236167
0.15 4 128.0 -0.609667505465398 0.3024751713008056 1.0 0.5923264756956811 0.5923264756956811 0.5597148972236661 0.5597148972236645 0.5099297169485761
0.15 4 160.0 -0.6096675055093576 0.302475171291771 1.0 0.593131069823675 0.5931310698236745 0.5626507603015132 0.5626507603015118 0.5155708589559818
0.15 4 192.0 -0.6096675055249438 0.3024751712904998 1.0 0.5934122546323314 0.5934122546323275 0.5636902911682551 0.5636902911682528 0.5176180960478373
0.15 4 228.0 -0.6096675055275039 0.3024751712902386 1.0 0.5947353214846253 0.5947353214846248 0.5687673519183117 0.5687673519183105 0.5281673017203184
0.15 4 264.0 -0.6096675055281514 0.30247517129018964 1.0 0.5959715598794446 0.5959715598794438 0.5735247479287613 0.5735247479287591 0.5381224764839991
0.15 4 300.0 -0.609667505528364 0.30247517129017676 1.0 0.596168109393068 0.5961681093930676 0.5742745554975244 0.574274555497523 0.5396867979578028
0.15 4 400.0 -0.6096675055284991 0.3024751712901691 1.0 0.5965853562194279 0.5965853562194263 0.5758259852447081 0.575825985244706 0.542771073577938
0.15 4 500.0 -0.609667505528509 0.30247517129016843 1.0 0.5976525509295705 0.5976525509295681 0.5799969814846258 0.5799969814846251 0.5517598239343726
0.15 4 600.0 -0.6096675055285109 0.3024751712901685 1.0 0.59826978766954 0.5982697876695385 0.5824099972212826 0.5824099972212823 0.5569667548690979
0.15 4 700.0 -0.6096675055285107 0.3024751712901689 1.0 0.5985196956117063 0.5985196956117058 0.5833520996272377 0.5833520996272376 0.5588809805509012
0.15 4 800.0 -0.6096675055285048 0.3024751712901682 0.9999999999999999 0.5986114676867136 0.5986114676867116 0.5837050387452593 0.5837050387452589 0.5596234587518119
