# uuid CTM_BFGS100LS_U1B_D5-chi101-j20.15-run0-c1D5j20chi101n0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5
0.15 5 50.0 -0.610085677963279 0.2836041612713723 1.0 0.7614111865076522 0.761411186507652 0.6473805409011412 0.6473805409011385 0.5701265937374486
0.15 5 75.0 -0.610105355473249 0.28355366136519267 1.0 0.7750754170629004 0.7750754170628967 0.6963791845670232 0.6963791845670232 0.5892384305998764
0.15 5 100.0 -0.6101106049927522 0.28354638816510386 1.0 0.779131196159533 0.7791311961595314 0.7105445894244558 0.7105445894244499 0.6094937577476408
0.15 5 125.0 -0.6101112713370241 0.2835447928626871 1.0 0.7813502860144159 0.7813502856126485 0.7179283212565957 0.7179283200351204 0.6213853308873819
0.15 5 150.0 -0.6101116456255731 0.2835441429473443 0.9999999999999999 0.7828517819648558 0.7828517819648542 0.7232835931684503 0.7232835931684481 0.6312206084331012
0.15 5 175.0 -0.6101118519043229 0.28354391141427826 1.0 0.7836844928071609 0.7836844928071608 0.7261820565739924 0.7261820565739912 0.6363724618288487
0.15 5 200.0 -0.6101119429726207 0.28354379845281064 1.0 0.7860645424682959 0.7860645424682895 0.735676963344173 0.7356769633441684 0.657036849874354
0.15 5 225.0 -0.6101120206478304 0.2835437269128942 1.0 0.7872174230098489 0.7872174230098457 0.7401461531276567 0.7401461531276556 0.666479881930092
0.15 5 250.0 -0.6101120533096857 0.2835436846069326 1.0 0.7879953132877214 0.7879953132877185 0.7431063700275384 0.7431063700275347 0.6725312635900562
0.15 5 275.0 -0.6101120699687662 0.2835436647477353 0.9999999999999999 0.7891142992504696 0.7891142992504667 0.7473751798450163 0.7473751798450097 0.6811825244026478
0.15 5 300.0 -0.6101120795436874 0.28354365407108006 1.0 0.7897436032631985 0.7897436032631946 0.7497636280885585 0.749763628088557 0.6860319121148746
0.15 5 350.0 -0.6101120904599951 0.2835436422497003 1.0 0.7901395064753461 0.7901395064753447 0.7512119833018962 0.7512119833018959 0.6888228213653116
0.15 5 400.0 -0.6101120945166105 0.2835436378909323 0.9999999999999999 0.7907585655401241 0.7907585655401226 0.7535115312839155 0.7535115312839122 0.6933328348698737
0.15 5 450.0 -0.6101120972795537 0.28354363579687986 1.0 0.7913901633396603 0.7913901633396563 0.7559385123175129 0.755938512317512 0.6983900571247715
0.15 5 500.0 -0.6101120984741054 0.28354363483656453 1.0 0.7923897780801038 0.7923897780801022 0.7599639955672629 0.7599639955672611 0.707411560668851
0.15 5 550.0 -0.6101120991598092 0.2835436343264579 1.0 0.7930628856999589 0.7930628856999529 0.7626210599785915 0.7626210599785844 0.7132143331064127
0.15 5 600.0 -0.6101120995897216 0.2835436340457276 1.0 0.7934238712262085 0.7934238712262075 0.7640085750090525 0.7640085750090502 0.7161195757574562
0.15 5 650.0 -0.6101120998303049 0.2835436338572188 1.0 0.793710643103108 0.7937106431031042 0.765124605066322 0.7651246050663201 0.718506532835597
0.15 5 700.0 -0.6101121000187786 0.2835436337468962 1.0 0.7938330732041802 0.7938330729650267 0.765596145226425 0.7655961443388093 0.7195025944131753
