# uuid CTM_gesdd-D3-chi72-j20.3-run0-iFBc4vn0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5 l6 l7 l8 l9
0.3 3 27.0 -0.553381563968377 0.28144869113685334 1.0 0.4145683668283961 0.4145681245985512 0.3595558235134804 0.3595550158495876 0.3004251493148813 0.29196511084210786 0.2919639278580481 0.2755866970183081 0.25240122645248786
0.3 3 54.0 -0.5533823409080831 0.2814486572731221 1.0 0.42285030449751254 0.4228499495589536 0.38742007633735204 0.38741893545333006 0.33721339415239887 0.3372115733076559 0.3094168677581494 0.2836898733833869 0.28368750815280597
0.3 3 81.0 -0.5533823422660391 0.2814486572220327 1.0 0.4242658408408833 0.4242657829253593 0.3924544179404343 0.39245426361318414 0.346477991757984 0.3464777897510329 0.31200843327878286 0.2958324946815184 0.29583236872049073
0.3 3 108.0 -0.5533823424149475 0.28144865722088647 1.0 0.42660052766458584 0.42659970905424427 0.4010101396747623 0.40100703950516714 0.36286499519567034 0.36285875733636397 0.31824117727974677 0.31823179104121235 0.3124022607364243
0.3 3 144.0 -0.5533823424253924 0.28144865722075163 1.0 0.4275971926067674 0.42758270127432596 0.40473223781250006 0.4046770984535177 0.3703001183703623 0.3701834708835442 0.3293256701639351 0.32912930662938544 0.313005501098109
0.3 3 216.0 -0.5533823424266817 0.281448657220744 0.9999999999999999 0.4285509789954441 0.42854712408848467 0.4082123746567964 0.4081986160744195 0.3769709459447659 0.37694544895433557 0.3386415773485788 0.3386075330283173 0.31491083927313784
