# uuid CTM_gesdd-D4-chi160-j20.5-run0-cFBc4vn0
# j2 D chi_obs energy m l0 l1 l2 l3 l4 l5 l6 l7 l8 l9
0.5 4 32.0 -0.4944406963122134 0.12882299696116786 1.0 0.6279124735588344 0.5325075937696064 0.48642132884584516 0.4746894159181782 0.4701609866161084 0.4466402752957775 0.4456472365462422 0.43434467075826877 0.4256753493695231
0.5 4 40.0 -0.49461787715598937 0.12861749218178498 1.0 0.636228871145539 0.5364220050379693 0.49264609281265276 0.4911085657835239 0.47451348993169445 0.4547097547016159 0.4509925505646242 0.441461736343049 0.43199100775613664
0.5 4 48.0 -0.4947115824558078 0.12846643797333945 1.0 0.6430346385384716 0.5476484410031021 0.5070431458090499 0.4964243533254069 0.47744281157386487 0.46310951153202146 0.4556489946352765 0.4458691183592677 0.4378043638159129
0.5 4 64.0 -0.49479585399970405 0.12836410162898665 1.0 0.6537768750706422 0.5570388953397966 0.5348477116200694 0.5046556991883985 0.4807049975841809 0.4690534330459694 0.4651344886624115 0.4518638885983994 0.442737363779541
0.5 4 96.0 -0.49484167020029834 0.12830531179046017 1.0 0.6624786712905956 0.5646337773225809 0.5581473304372159 0.5140602687331418 0.48471458950819163 0.477384220410877 0.4759318960237756 0.4592616323949174 0.4486130571042468
0.5 4 128.0 -0.49485849690140754 0.12828979091768633 1.0 0.668276991141389 0.5747311789170613 0.5702600966330832 0.5186540454780847 0.4903204233586266 0.4878350644653022 0.4788796449888326 0.46421118558523894 0.46268941732570956
0.5 4 160.0 -0.49486391741862523 0.12828508711049808 0.9999999999999999 0.6722802024234505 0.5877222284689765 0.5741637397434877 0.5219399484702728 0.5002613201539831 0.489754800669047 0.48356607120919165 0.4807667936867654 0.4648064197943486
0.5 4 192.0 -0.4948659621502313 0.12828310572981036 1.0 0.6749569445158888 0.5962947384824446 0.5770854363476946 0.524143853058776 0.5079042756233144 0.49591998068491877 0.4911099211980869 0.484126236670852 0.46740569031960727
0.5 4 228.0 -0.4948670842300747 0.12828213094627897 1.0 0.6765304908078246 0.6014374688846481 0.5802085596396502 0.5258110291260967 0.51668183459466 0.503739590233574 0.4924487677327241 0.486875343227032 0.4696057385864454
0.5 4 264.0 -0.49486764300149766 0.12828166117977347 1.0 0.6790476442650499 0.6100255792748465 0.581623836029041 0.5274362102488691 0.5205599224444122 0.5172714977142893 0.4931374759482009 0.4883224222425164 0.47317148236007095
0.5 4 300.0 -0.4948679511486672 0.12828142760774192 1.0 0.6804600993739239 0.6148266022624232 0.5826477353572871 0.5287427403081986 0.5249557459103311 0.5233803120527079 0.49376849189047717 0.48935994374929215 0.47666029770683455
0.5 4 400.0 -0.4948683187831504 0.12828117988749596 1.0 0.6828095875383388 0.6229100279892928 0.5851695321279066 0.5385230823219616 0.5312307225365513 0.5309333837429132 0.4948831026614607 0.4915362383795646 0.48359952495106967
0.5 4 500.0 -0.4948684418613962 0.12828111152148522 1.0 0.6852891177130749 0.6319586022883946 0.5866955065068719 0.5553337374455093 0.5359213687792228 0.532876755232024 0.4958179848671572 0.49280281206297444 0.4883094407494172
0.5 4 600.0 -0.4948684888049368 0.12828108779067096 1.0 0.6868552123053662 0.6376330001223672 0.5884902490096721 0.5658779743558319 0.5418120738864364 0.5340291297427363 0.4966032637853176 0.49398421666444725 0.4917112435723248
0.5 4 700.0 -0.4948685085428287 0.12828107811508854 1.0 0.687980569420416 0.6417112474636216 0.5897009633332951 0.5734322319881283 0.5457722355842852 0.5348767329047314 0.4979484262621256 0.49758147372995254 0.49485741658443266
0.5 4 800.0 -0.4948685190401174 0.128281073783969 1.0 0.6886759003567536 0.6442427791003658 0.5904765083353817 0.5781850524615465 0.5482759030569587 0.5356254366696935 0.5040508344788011 0.49828476708586883 0.4963965997925398
